1001,c101,300
1002,c102,200
1003,c101,400
1004,c102,400
1005,c103,600
1006,c102,300
1001,c101,300
1002,c102,200
1003,c101,400
1004,c102,400
1005,c103,600
1006,c102,300
1001,c101,300
1002,c102,200
1003,c101,400
1004,c102,400
1005,c103,600
1006,c102,300
1001,c101,300
1002,c102,200
1003,c101,400
1004,c102,400
1005,c103,600
1006,c102,300
1001,c101,300
1002,c102,200
1003,c101,400
1004,c102,400
1005,c103,600
1006,c102,300
1001,c101,300
1002,c102,200
1003,c101,400
1004,c102,400
1005,c103,600
1006,c102,300
1001,c101,300
1002,c102,200
1003,c101,400
1004,c102,400
1005,c103,600
1006,c102,300
1001,c101,300
1002,c102,200
1003,c101,400
1004,c102,400
1005,c103,600
1006,c102,300
1001,c101,300
1002,c102,200
1003,c101,400
1004,c102,400
1005,c103,600
1006,c102,300
